date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:11:08	22222/22222	---M-Z	200	added ('OK')	text/html	date:Mon,%2027%20Apr%202020%2010:48:08%20GMT	http://themelooks.us/demo/covidland/html/index.html	C:/My%20Web%20Sites/demo/themelooks.us/demo/covidland/html/index.html	(from )
20:11:09	31/31	---M--	200	added ('OK')	text/plain	date:Wed,%2024%20Nov%202021%2000:34:44%20GMT	http://themelooks.us/robots.txt		(from )
20:11:10	5170/5170	---M--	200	added ('OK')	text/css	date:Thu,%2023%20Apr%202020%2016:37:14%20GMT	http://themelooks.us/demo/covidland/html/assets/plugins/magnific-popup/magnific-popup.min.css	C:/My%20Web%20Sites/demo/themelooks.us/demo/covidland/html/assets/plugins/magnific-popup/magnific-popup.min.css	(from http://themelooks.us/demo/covidland/html/index.html)
20:11:11	14305/14305	---M--	200	added ('OK')	text/css	date:Thu,%2023%20Apr%202020%2016:37:14%20GMT	http://themelooks.us/demo/covidland/html/assets/plugins/data-tables/datatables.min.css	C:/My%20Web%20Sites/demo/themelooks.us/demo/covidland/html/assets/plugins/data-tables/datatables.min.css	(from http://themelooks.us/demo/covidland/html/index.html)
20:11:11	39704/39704	---M--	200	added ('OK')	image/png	date:Thu,%2023%20Apr%202020%2016:37:14%20GMT	http://themelooks.us/demo/covidland/html/favicon.png	C:/My%20Web%20Sites/demo/themelooks.us/demo/covidland/html/favicon.png	(from http://themelooks.us/demo/covidland/html/index.html)
20:11:12	0/0	---M--	200	added ('OK')	text/css	date:Mon,%2027%20Apr%202020%2010:43:38%20GMT	http://themelooks.us/demo/covidland/html/assets/css/custom.css	C:/My%20Web%20Sites/demo/themelooks.us/demo/covidland/html/assets/css/custom.css	(from http://themelooks.us/demo/covidland/html/index.html)
20:11:15	97596/97596	---M--	200	added ('OK')	text/css	date:Mon,%2027%20Apr%202020%2010:49:16%20GMT	http://themelooks.us/demo/covidland/html/assets/css/style.css	C:/My%20Web%20Sites/demo/themelooks.us/demo/covidland/html/assets/css/style.css	(from http://themelooks.us/demo/covidland/html/index.html)
20:11:15	1666/1666	---M--	200	added ('OK')	image/png	date:Thu,%2023%20Apr%202020%2016:37:16%20GMT	http://themelooks.us/demo/covidland/html/assets/img/preloader.png	C:/My%20Web%20Sites/demo/themelooks.us/demo/covidland/html/assets/img/preloader.png	(from http://themelooks.us/demo/covidland/html/index.html)
20:11:15	3317/3317	---M--	200	added ('OK')	image/png	date:Thu,%2023%20Apr%202020%2016:37:16%20GMT	http://themelooks.us/demo/covidland/html/assets/img/logo.png	C:/My%20Web%20Sites/demo/themelooks.us/demo/covidland/html/assets/img/logo.png	(from http://themelooks.us/demo/covidland/html/index.html)
20:11:15	13453/13453	---M-Z	200	added ('OK')	text/html	date:Thu,%2023%20Apr%202020%2016:45:40%20GMT	http://themelooks.us/demo/covidland/html/blog.html	C:/My%20Web%20Sites/demo/themelooks.us/demo/covidland/html/blog.html	(from http://themelooks.us/demo/covidland/html/index.html)
20:11:16	33780/33780	---M-Z	200	added ('OK')	text/html	date:Thu,%2023%20Apr%202020%2016:45:54%20GMT	http://themelooks.us/demo/covidland/html/blog-details.html	C:/My%20Web%20Sites/demo/themelooks.us/demo/covidland/html/blog-details.html	(from http://themelooks.us/demo/covidland/html/index.html)
20:11:16	1762/1762	---M-Z	200	added ('OK')	text/html	date:Thu,%2023%20Apr%202020%2016:46:10%20GMT	http://themelooks.us/demo/covidland/html/404.html	C:/My%20Web%20Sites/demo/themelooks.us/demo/covidland/html/404.html	(from http://themelooks.us/demo/covidland/html/index.html)
20:11:16	3126/3126	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2023%20Apr%202020%2016:37:18%20GMT	http://themelooks.us/demo/covidland/html/assets/img/icon/sick.svg	C:/My%20Web%20Sites/demo/themelooks.us/demo/covidland/html/assets/img/icon/sick.svg	(from http://themelooks.us/demo/covidland/html/index.html)
20:11:17	10105/10105	---M--	200	added ('OK')	image/png	date:Thu,%2023%20Apr%202020%2016:37:16%20GMT	http://themelooks.us/demo/covidland/html/assets/img/pattern.png	C:/My%20Web%20Sites/demo/themelooks.us/demo/covidland/html/assets/img/pattern.png	(from http://themelooks.us/demo/covidland/html/index.html)
20:11:19	522/522	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2023%20Apr%202020%2016:37:18%20GMT	http://themelooks.us/demo/covidland/html/assets/img/icon/play.svg	C:/My%20Web%20Sites/demo/themelooks.us/demo/covidland/html/assets/img/icon/play.svg	(from http://themelooks.us/demo/covidland/html/index.html)
20:11:20	39808/39808	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2023%20Apr%202020%2016:37:18%20GMT	http://themelooks.us/demo/covidland/html/assets/img/icon/s-1.svg	C:/My%20Web%20Sites/demo/themelooks.us/demo/covidland/html/assets/img/icon/s-1.svg	(from http://themelooks.us/demo/covidland/html/index.html)
20:11:22	43536/43536	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2023%20Apr%202020%2016:37:18%20GMT	http://themelooks.us/demo/covidland/html/assets/img/icon/s-2.svg	C:/My%20Web%20Sites/demo/themelooks.us/demo/covidland/html/assets/img/icon/s-2.svg	(from http://themelooks.us/demo/covidland/html/index.html)
20:11:23	3133/3133	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2023%20Apr%202020%2016:37:18%20GMT	http://themelooks.us/demo/covidland/html/assets/img/icon/s-3.svg	C:/My%20Web%20Sites/demo/themelooks.us/demo/covidland/html/assets/img/icon/s-3.svg	(from http://themelooks.us/demo/covidland/html/index.html)
20:11:25	5015/5015	---M--	200	added ('OK')	image/png	date:Thu,%2023%20Apr%202020%2016:37:18%20GMT	http://themelooks.us/demo/covidland/html/assets/img/s-line.png	C:/My%20Web%20Sites/demo/themelooks.us/demo/covidland/html/assets/img/s-line.png	(from http://themelooks.us/demo/covidland/html/index.html)
20:11:31	36880/36880	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20Apr%202020%2016:37:18%20GMT	http://themelooks.us/demo/covidland/html/assets/img/prevention-bg.jpg	C:/My%20Web%20Sites/demo/themelooks.us/demo/covidland/html/assets/img/prevention-bg.jpg	(from http://themelooks.us/demo/covidland/html/index.html)
20:11:33	3943/3943	---M--	200	added ('OK')	image/png	date:Thu,%2023%20Apr%202020%2016:37:18%20GMT	http://themelooks.us/demo/covidland/html/assets/img/icon/p-1.png	C:/My%20Web%20Sites/demo/themelooks.us/demo/covidland/html/assets/img/icon/p-1.png	(from http://themelooks.us/demo/covidland/html/index.html)
20:11:34	3770/3770	---M--	200	added ('OK')	image/png	date:Thu,%2023%20Apr%202020%2016:37:20%20GMT	http://themelooks.us/demo/covidland/html/assets/img/icon/p-2.png	C:/My%20Web%20Sites/demo/themelooks.us/demo/covidland/html/assets/img/icon/p-2.png	(from http://themelooks.us/demo/covidland/html/index.html)
20:11:36	4030/4030	---M--	200	added ('OK')	image/png	date:Thu,%2023%20Apr%202020%2016:37:20%20GMT	http://themelooks.us/demo/covidland/html/assets/img/icon/p-3.png	C:/My%20Web%20Sites/demo/themelooks.us/demo/covidland/html/assets/img/icon/p-3.png	(from http://themelooks.us/demo/covidland/html/index.html)
20:11:37	115944/115944	---M--	200	added ('OK')	image/png	date:Thu,%2023%20Apr%202020%2016:37:24%20GMT	http://themelooks.us/demo/covidland/html/assets/img/about-img.png	C:/My%20Web%20Sites/demo/themelooks.us/demo/covidland/html/assets/img/about-img.png	(from http://themelooks.us/demo/covidland/html/index.html)
20:11:37	4373/4373	---M--	200	added ('OK')	image/png	date:Thu,%2023%20Apr%202020%2016:37:20%20GMT	http://themelooks.us/demo/covidland/html/assets/img/icon/p-4.png	C:/My%20Web%20Sites/demo/themelooks.us/demo/covidland/html/assets/img/icon/p-4.png	(from http://themelooks.us/demo/covidland/html/index.html)
20:11:37	558/558	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2023%20Apr%202020%2016:37:18%20GMT	http://themelooks.us/demo/covidland/html/assets/img/icon/phone.svg	C:/My%20Web%20Sites/demo/themelooks.us/demo/covidland/html/assets/img/icon/phone.svg	(from http://themelooks.us/demo/covidland/html/index.html)
20:11:40	9898/9898	---M--	200	added ('OK')	image/png	date:Thu,%2023%20Apr%202020%2016:37:16%20GMT	http://themelooks.us/demo/covidland/html/assets/img/bg-pattren.png	C:/My%20Web%20Sites/demo/themelooks.us/demo/covidland/html/assets/img/bg-pattren.png	(from http://themelooks.us/demo/covidland/html/index.html)
20:11:41	180470/180470	---M--	200	added ('OK')	image/png	date:Thu,%2023%20Apr%202020%2016:37:50%20GMT	http://themelooks.us/demo/covidland/html/assets/img/banner.png	C:/My%20Web%20Sites/demo/themelooks.us/demo/covidland/html/assets/img/banner.png	(from http://themelooks.us/demo/covidland/html/index.html)
20:11:41	123584/123584	---M--	200	added ('OK')	image/png	date:Thu,%2023%20Apr%202020%2016:37:32%20GMT	http://themelooks.us/demo/covidland/html/assets/img/symptoms.png	C:/My%20Web%20Sites/demo/themelooks.us/demo/covidland/html/assets/img/symptoms.png	(from http://themelooks.us/demo/covidland/html/index.html)
20:11:44	881/881	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2023%20Apr%202020%2016:37:18%20GMT	http://themelooks.us/demo/covidland/html/assets/img/icon/checked.svg	C:/My%20Web%20Sites/demo/themelooks.us/demo/covidland/html/assets/img/icon/checked.svg	(from http://themelooks.us/demo/covidland/html/index.html)
20:11:44	739/739	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2023%20Apr%202020%2016:37:18%20GMT	http://themelooks.us/demo/covidland/html/assets/img/icon/close.svg	C:/My%20Web%20Sites/demo/themelooks.us/demo/covidland/html/assets/img/icon/close.svg	(from http://themelooks.us/demo/covidland/html/index.html)
20:11:52	67795/67795	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20Apr%202020%2016:37:16%20GMT	http://themelooks.us/demo/covidland/html/assets/img/country-update.jpg	C:/My%20Web%20Sites/demo/themelooks.us/demo/covidland/html/assets/img/country-update.jpg	(from http://themelooks.us/demo/covidland/html/index.html)
20:11:52	116889/116889	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20Apr%202020%2016:37:16%20GMT	http://themelooks.us/demo/covidland/html/assets/img/contact-img.jpg	C:/My%20Web%20Sites/demo/themelooks.us/demo/covidland/html/assets/img/contact-img.jpg	(from http://themelooks.us/demo/covidland/html/index.html)
20:11:52	60543/60543	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20Apr%202020%2016:37:18%20GMT	http://themelooks.us/demo/covidland/html/assets/img/world-update.jpg	C:/My%20Web%20Sites/demo/themelooks.us/demo/covidland/html/assets/img/world-update.jpg	(from http://themelooks.us/demo/covidland/html/index.html)
20:11:54	3317/3317	---M--	200	added ('OK')	image/png	date:Thu,%2023%20Apr%202020%2016:37:16%20GMT	http://themelooks.us/demo/covidland/html/assets/img/footer-logo.png	C:/My%20Web%20Sites/demo/themelooks.us/demo/covidland/html/assets/img/footer-logo.png	(from http://themelooks.us/demo/covidland/html/index.html)
20:11:54	861/861	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2023%20Apr%202020%2016:37:18%20GMT	http://themelooks.us/demo/covidland/html/assets/img/icon/twitter.svg	C:/My%20Web%20Sites/demo/themelooks.us/demo/covidland/html/assets/img/icon/twitter.svg	(from http://themelooks.us/demo/covidland/html/index.html)
20:11:55	339/339	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2023%20Apr%202020%2016:37:18%20GMT	http://themelooks.us/demo/covidland/html/assets/img/icon/facebook.svg	C:/My%20Web%20Sites/demo/themelooks.us/demo/covidland/html/assets/img/icon/facebook.svg	(from http://themelooks.us/demo/covidland/html/index.html)
20:11:55	631/631	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2023%20Apr%202020%2016:37:18%20GMT	http://themelooks.us/demo/covidland/html/assets/img/icon/linkedin.svg	C:/My%20Web%20Sites/demo/themelooks.us/demo/covidland/html/assets/img/icon/linkedin.svg	(from http://themelooks.us/demo/covidland/html/index.html)
20:11:55	1015/1015	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2023%20Apr%202020%2016:37:18%20GMT	http://themelooks.us/demo/covidland/html/assets/img/icon/instagram.svg	C:/My%20Web%20Sites/demo/themelooks.us/demo/covidland/html/assets/img/icon/instagram.svg	(from http://themelooks.us/demo/covidland/html/index.html)
20:11:56	1609/1609	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2023%20Apr%202020%2016:37:18%20GMT	http://themelooks.us/demo/covidland/html/assets/img/icon/youtube.svg	C:/My%20Web%20Sites/demo/themelooks.us/demo/covidland/html/assets/img/icon/youtube.svg	(from http://themelooks.us/demo/covidland/html/index.html)
20:11:58	117881/117881	---M--	200	added ('OK')	image/png	date:Thu,%2023%20Apr%202020%2016:37:26%20GMT	http://themelooks.us/demo/covidland/html/assets/img/tips.png	C:/My%20Web%20Sites/demo/themelooks.us/demo/covidland/html/assets/img/tips.png	(from http://themelooks.us/demo/covidland/html/index.html)
20:12:01	69540/69540	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20Apr%202020%2016:37:16%20GMT	http://themelooks.us/demo/covidland/html/assets/img/footer-bg.jpg	C:/My%20Web%20Sites/demo/themelooks.us/demo/covidland/html/assets/img/footer-bg.jpg	(from http://themelooks.us/demo/covidland/html/index.html)
20:12:02	20216/20216	---M--	200	added ('OK')	application/javascript	date:Thu,%2023%20Apr%202020%2016:37:14%20GMT	http://themelooks.us/demo/covidland/html/assets/plugins/magnific-popup/jquery.magnific-popup.min.js	C:/My%20Web%20Sites/demo/themelooks.us/demo/covidland/html/assets/plugins/magnific-popup/jquery.magnific-popup.min.js	(from http://themelooks.us/demo/covidland/html/index.html)
20:12:03	2173/2173	---M--	200	added ('OK')	application/javascript	date:Thu,%2023%20Apr%202020%2016:37:14%20GMT	http://themelooks.us/demo/covidland/html/assets/js/menu.min.js	C:/My%20Web%20Sites/demo/themelooks.us/demo/covidland/html/assets/js/menu.min.js	(from http://themelooks.us/demo/covidland/html/index.html)
20:12:05	4919/4919	---M--	200	added ('OK')	application/javascript	date:Thu,%2023%20Apr%202020%2016:52:34%20GMT	http://themelooks.us/demo/covidland/html/assets/js/main.js	C:/My%20Web%20Sites/demo/themelooks.us/demo/covidland/html/assets/js/main.js	(from http://themelooks.us/demo/covidland/html/index.html)
20:12:05	0/0	---M--	200	added ('OK')	application/javascript	date:Thu,%2023%20Apr%202020%2016:37:14%20GMT	http://themelooks.us/demo/covidland/html/assets/js/custom.js	C:/My%20Web%20Sites/demo/themelooks.us/demo/covidland/html/assets/js/custom.js	(from http://themelooks.us/demo/covidland/html/index.html)
20:12:06	201/201	---M--	200	added ('OK')	image/png	date:Thu,%2023%20Apr%202020%2016:37:14%20GMT	http://themelooks.us/demo/covidland/html/assets/plugins/data-tables/DataTables-1.10.20/images/sort_both.png	C:/My%20Web%20Sites/demo/themelooks.us/demo/covidland/html/assets/plugins/data-tables/DataTables-1.10.20/images/sort_both.png	(from http://themelooks.us/demo/covidland/html/assets/plugins/data-tables/datatables.min.css)
20:12:07	37487/37487	---M--	200	added ('OK')	application/javascript	date:Thu,%2023%20Apr%202020%2016:37:14%20GMT	http://themelooks.us/demo/covidland/html/assets/plugins/nav/nav.min.js	C:/My%20Web%20Sites/demo/themelooks.us/demo/covidland/html/assets/plugins/nav/nav.min.js	(from http://themelooks.us/demo/covidland/html/index.html)
20:12:07	160/160	---M--	200	added ('OK')	image/png	date:Thu,%2023%20Apr%202020%2016:37:14%20GMT	http://themelooks.us/demo/covidland/html/assets/plugins/data-tables/DataTables-1.10.20/images/sort_asc.png	C:/My%20Web%20Sites/demo/themelooks.us/demo/covidland/html/assets/plugins/data-tables/DataTables-1.10.20/images/sort_asc.png	(from http://themelooks.us/demo/covidland/html/assets/plugins/data-tables/datatables.min.css)
20:12:08	84649/84649	---M--	200	added ('OK')	application/javascript	date:Thu,%2023%20Apr%202020%2016:37:14%20GMT	http://themelooks.us/demo/covidland/html/assets/plugins/data-tables/datatables.min.js	C:/My%20Web%20Sites/demo/themelooks.us/demo/covidland/html/assets/plugins/data-tables/datatables.min.js	(from http://themelooks.us/demo/covidland/html/index.html)
20:12:08	158/158	---M--	200	added ('OK')	image/png	date:Thu,%2023%20Apr%202020%2016:37:14%20GMT	http://themelooks.us/demo/covidland/html/assets/plugins/data-tables/DataTables-1.10.20/images/sort_desc.png	C:/My%20Web%20Sites/demo/themelooks.us/demo/covidland/html/assets/plugins/data-tables/DataTables-1.10.20/images/sort_desc.png	(from http://themelooks.us/demo/covidland/html/assets/plugins/data-tables/datatables.min.css)
20:12:08	96873/96873	---M--	200	added ('OK')	application/javascript	date:Thu,%2023%20Apr%202020%2016:37:14%20GMT	http://themelooks.us/demo/covidland/html/assets/js/jquery.min.js	C:/My%20Web%20Sites/demo/themelooks.us/demo/covidland/html/assets/js/jquery.min.js	(from http://themelooks.us/demo/covidland/html/index.html)
